países;quantidade;valor;ano;opcao
Austrália;-;-;1972;Vinhos de mesa
Áustria;353;520;1972;Vinhos de mesa
Bermudas;-;-;1972;Vinhos de mesa
Bélgica;-;-;1972;Vinhos de mesa
Bolívia;-;-;1972;Vinhos de mesa
Bósnia-Herzegovina;-;-;1972;Vinhos de mesa
Brasil;-;-;1972;Vinhos de mesa
Bulgária;-;-;1972;Vinhos de mesa
Canada;-;-;1972;Vinhos de mesa
Chile;161.736;95.654;1972;Vinhos de mesa
China;-;-;1972;Vinhos de mesa
Coreia do Sul, República;-;-;1972;Vinhos de mesa
Croácia;-;-;1972;Vinhos de mesa
Cuba;-;-;1972;Vinhos de mesa
Emirados Árabes Unidos;-;-;1972;Vinhos de mesa
Eslovênia;-;-;1972;Vinhos de mesa
Eslováquia;-;-;1972;Vinhos de mesa
Espanha;300.582;116.710;1972;Vinhos de mesa
Estados Unidos;2.156;1.337;1972;Vinhos de mesa
França;176.688;173.001;1972;Vinhos de mesa
Geórgia;-;-;1972;Vinhos de mesa
Geórgia do Sul e Sandwich do Sul, Ilhas;-;-;1972;Vinhos de mesa
Grécia;-;-;1972;Vinhos de mesa
Hong Kong;-;-;1972;Vinhos de mesa
Hungria;-;-;1972;Vinhos de mesa
Indonésia;-;-;1972;Vinhos de mesa
Irlanda;-;-;1972;Vinhos de mesa
Israel;-;-;1972;Vinhos de mesa
Itália;142.196;96.943;1972;Vinhos de mesa
Japão;-;-;1972;Vinhos de mesa
Iugoslávia;1.824;1.137;1972;Vinhos de mesa
Líbano;-;-;1972;Vinhos de mesa
Luxemburgo;-;-;1972;Vinhos de mesa
Macedônia;-;-;1972;Vinhos de mesa
Marrocos;-;-;1972;Vinhos de mesa
México;-;-;1972;Vinhos de mesa
Moldávia;-;-;1972;Vinhos de mesa
Montenegro;-;-;1972;Vinhos de mesa
Noruega;-;-;1972;Vinhos de mesa
Nova Zelândia;-;-;1972;Vinhos de mesa
Países Baixos (Holanda);-;-;1972;Vinhos de mesa
Panamá;-;-;1972;Vinhos de mesa
Peru;-;-;1972;Vinhos de mesa
Porto Rico;-;-;1972;Vinhos de mesa
Portugal;1.650.727;1.226.232;1972;Vinhos de mesa
Reino Unido;-;-;1972;Vinhos de mesa
Republica Dominicana;-;-;1972;Vinhos de mesa
Romênia;-;-;1972;Vinhos de mesa
Rússia;-;-;1972;Vinhos de mesa
San Marino;-;-;1972;Vinhos de mesa
Sérvia;-;-;1972;Vinhos de mesa
Síria;-;-;1972;Vinhos de mesa
Suazilândia;-;-;1972;Vinhos de mesa
Suíça;-;-;1972;Vinhos de mesa
Tcheca, República;-;-;1972;Vinhos de mesa
Tunísia;-;-;1972;Vinhos de mesa
Turquia;-;-;1972;Vinhos de mesa
Ucrânia;-;-;1972;Vinhos de mesa
Uruguai;7.394;2.741;1972;Vinhos de mesa
Não consta na tabela;-;-;1972;Vinhos de mesa
Não declarados;-;-;1972;Vinhos de mesa
Outros;79.052;25.032;1972;Vinhos de mesa
Total;2.762.052;1.889.547;1972;Vinhos de mesa
Africa do Sul;-;-;1972;Espumantes
Alemanha;2.864;2.479;1972;Espumantes
Argentina;35.301;26.909;1972;Espumantes
Austrália;-;-;1972;Espumantes
Áustria;-;-;1972;Espumantes
Bermudas;-;-;1972;Espumantes
Bahamas;-;-;1972;Espumantes
Bélgica;-;-;1972;Espumantes
Brasil;-;-;1972;Espumantes
Bulgária;-;-;1972;Espumantes
Canada;-;-;1972;Espumantes
Chile;201;192;1972;Espumantes
Croácia;-;-;1972;Espumantes
Cuba;-;-;1972;Espumantes
Emirados Árabes Unidos;-;-;1972;Espumantes
Eslovênia;-;-;1972;Espumantes
Espanha;27.461;20.026;1972;Espumantes
Estados Unidos;-;-;1972;Espumantes
França;35.899;97.186;1972;Espumantes
Geórgia;-;-;1972;Espumantes
Granada;-;-;1972;Espumantes
Grécia;-;-;1972;Espumantes
Hong Kong;-;-;1972;Espumantes
Hungria;-;-;1972;Espumantes
Indonésia;-;-;1972;Espumantes
Irlanda;-;-;1972;Espumantes
Israel;-;-;1972;Espumantes
Itália;5.054;3.328;1972;Espumantes
Luxemburgo;-;-;1972;Espumantes
México;-;-;1972;Espumantes
Moldávia;-;-;1972;Espumantes
Nova Zelândia;-;-;1972;Espumantes
Países Baixos;-;-;1972;Espumantes
Panamá;-;-;1972;Espumantes
Peru;-;-;1972;Espumantes
Portugal;12.768;18.479;1972;Espumantes
Reino Unido;-;-;1972;Espumantes
Romênia;-;-;1972;Espumantes
Suíça;-;-;1972;Espumantes
Tunísia;-;-;1972;Espumantes
Ucrânia;-;-;1972;Espumantes
Uruguai;-;-;1972;Espumantes
Não consta na tabela;-;-;1972;Espumantes
Não declarados;-;-;1972;Espumantes
Outros;576;454;1972;Espumantes
Total;120.124;169.053;1972;Espumantes
Argélia;-;-;1972;Uvas frescas
Argentina;1.965.010;779.841;1972;Uvas frescas
Brasil;-;-;1972;Uvas frescas
Chile;1.680.664;578.569;1972;Uvas frescas
Colômbia;-;-;1972;Uvas frescas
Egito;-;-;1972;Uvas frescas
Espanha;617.898;209.416;1972;Uvas frescas
Estados Unidos;17.250;8.980;1972;Uvas frescas
Grécia;58.500;13.009;1972;Uvas frescas
Itália;-;-;1972;Uvas frescas
México;-;-;1972;Uvas frescas
Peru;-;-;1972;Uvas frescas
Paraguai;-;-;1972;Uvas frescas
Portugal;1.000;2.069;1972;Uvas frescas
Panamá;50;51;1972;Uvas frescas
Reino Unido;120;85;1972;Uvas frescas
Uruguai;-;-;1972;Uvas frescas
Venezuela;3.357;7.565;1972;Uvas frescas
Não consta na tabela;-;-;1972;Uvas frescas
Outros;-;-;1972;Uvas frescas
Total;4.343.849;1.599.585;1972;Uvas frescas
Afeganistão;-;-;1972;Uvas passas
África do Sul;-;-;1972;Uvas passas
Alemanha, República Democrática;3.000;3.366;1972;Uvas passas
Arábia Saudita;-;-;1972;Uvas passas
Argentina;1.047.482;981.648;1972;Uvas passas
Austrália;89.025;52.819;1972;Uvas passas
Bélgica;-;-;1972;Uvas passas
Chile;-;-;1972;Uvas passas
China;-;-;1972;Uvas passas
China Continental;-;-;1972;Uvas passas
Cingapura;-;-;1972;Uvas passas
Costa Rica;-;-;1972;Uvas passas
Emirados;-;-;1972;Uvas passas
Espanha;57.208;59.951;1972;Uvas passas
Estados Unidos;411.443;456.999;1972;Uvas passas
França;-;-;1972;Uvas passas
Grécia;369.763;134.178;1972;Uvas passas
Guiana Britânica;-;-;1972;Uvas passas
Índia;-;-;1972;Uvas passas
Irã;-;-;1972;Uvas passas
Itália;70.000;20.790;1972;Uvas passas
Japão;-;-;1972;Uvas passas
México;150.827;120.736;1972;Uvas passas
Países Baixos;-;-;1972;Uvas passas
Paraguai;-;-;1972;Uvas passas
Peru;-;-;1972;Uvas passas
Portugal;-;-;1972;Uvas passas
Reino Unido;276;249;1972;Uvas passas
